state,district,total,Obama,Romney,winner
IN,Marshall,17751,34.56706664413273,63.43304602557602,Romney
IN,Martin,4742,28.49008857022353,68.78954027836356,Romney
IN,Miami,12758,33.077284840884154,63.98338297538799,Romney
IN,Monroe,40200,56.92786069651742,40.432835820895534,Obama
IN,Montgomery,14349,29.576974005157155,68.07443027388668,Romney
IN,Morgan,28251,28.20785104952037,69.34621783299707,Romney
IN,Newton,5652,39.136588818117474,58.2271762208068,Romney
IN,Noble,16244,32.19034720512189,65.74735286875153,Romney
IN,Ohio,2812,35.277382645803705,62.48221906116643,Romney
IN,Orange,7753,37.90790661679351,59.525345027731206,Romney
IN,Owen,8107,34.82175897372641,62.43986678179351,Romney
IN,Parke,6504,32.38007380073801,65.00615006150059,Romney
IN,Perry,7866,54.843630816170865,43.262140859394854,Obama
IN,Pike,5924,35.87103308575287,61.225523295070886,Romney
IN,Porter,72487,50.974657524797536,47.176735138714534,Obama
IN,Posey,12216,37.090700720366726,60.797314996725596,Romney
IN,Pulaski,5399,35.17318021855899,62.344878681237276,Romney
IN,Putnam,13813,32.606964453775426,65.18497067979439,Romney
IN,Randolph,10188,36.984687868080094,61.0325873576757,Romney
IN,Ripley,10982,29.511928610453467,68.147878346385,Romney
IN,Rush,7026,31.6111585539425,65.94079134642755,Romney
IN,St. Joseph,110644,51.0267163153899,47.51726257185207,Obama
IN,Scott,8716,45.869664983937575,52.076640660853606,Romney
IN,Shelby,16743,31.995460789583703,65.53186406259333,Romney
IN,Spencer,9725,41.39845758354756,56.709511568123396,Romney
IN,Starke,8752,43.52148080438757,54.13619744058502,Romney
IN,Steuben,13677,35.431746728083645,62.45521678730716,Romney
IN,Sullivan,8289,38.496802991917,59.138617444806364,Romney
IN,Switzerland,3397,42.30203120400353,55.10744774801295,Romney
IN,Tippecanoe,56696,46.990969380555924,50.634965429659935,Romney
IN,Tipton,7364,33.02552960347637,64.81531776208583,Romney
IN,Union,3099,32.849306227815426,65.24685382381413,Romney
IN,Vanderburgh,72416,43.71823906319045,54.55148033583739,Romney
IN,Vermillion,6578,45.28732137427789,52.08269990878686,Romney
IN,Vigo,39843,49.46163692493035,48.610797379715386,Obama
IN,Wabash,12702,30.932136671390328,67.13903322311448,Romney
IN,Warren,3798,34.86045286993154,62.58557135334386,Romney
IN,Warrick,24627,35.69659317009786,62.3299630486864,Romney
IN,Washington,10725,36.447552447552454,60.904428904428904,Romney
IN,Wayne,25458,41.60185403409537,56.25343703354545,Romney
IN,Wells,12922,26.57483361708714,71.62203993189908,Romney
IN,White,9901,36.713463286536715,60.296939703060296,Romney
IN,Whitley,15005,29.456847717427525,68.35721426191269,Romney
KS,Allen,5221,35.280597586669224,62.459298984868795,Romney
KS,Anderson,3274,28.619425778863782,68.60109957238849,Romney
KS,Atchison,6499,38.25203877519618,59.02446530235422,Romney
KS,Barber,2282,20.72743207712533,76.81858019281333,Romney
KS,Barton,12010,22.422980849292255,76.03663613655287,Romney
KS,Bourbon,6118,31.88950637463223,65.74043805165087,Romney
KS,Brown,3865,26.88227684346701,70.84087968952134,Romney
KS,Butler,25452,27.989941851327988,69.7941222693698,Romney
KS,Chase,1233,27.81832927818329,69.50527169505271,Romney
KS,Chautauqua,1502,17.243675099866845,79.9600532623169,Romney
KS,Cherokee,8396,34.15912339209147,63.66126727012863,Romney
KS,Cheyenne,1422,16.244725738396625,81.36427566807313,Romney
KS,Clark,1000,17.1,79.10000000000002,Romney
KS,Clay,3584,22.628348214285715,75.75334821428571,Romney
KS,Cloud,3957,24.03335860500379,72.93404094010614,Romney
KS,Coffey,3839,23.02682990362073,74.49856733524355,Romney
KS,Comanche,915,15.409836065573769,82.62295081967214,Romney
KS,Cowley,12444,33.90388942462231,63.74156219864994,Romney
KS,Crawford,14385,45.49878345498784,51.99860966284324,Romney
KS,Decatur,1533,17.35159817351598,79.51728636660144,Romney
KS,Dickinson,7854,24.980901451489693,72.68907563025209,Romney
KS,Doniphan,3369,26.26892252894033,71.14870881567231,Romney
KS,Douglas,46283,60.52330229241839,36.79104638852279,Obama
KS,Edwards,1365,21.31868131868132,76.7765567765568,Romney
KS,Elk,1356,20.427728613569318,76.69616519174042,Romney
KS,Ellis,12779,27.10697237655529,70.87409030440567,Romney
KS,Ellsworth,2677,25.99925289503175,71.1617482256257,Romney
KS,Finney,7593,30.38324772817068,67.27248781772686,Romney
KS,Ford,8082,30.536995793120518,67.54516208859194,Romney
KS,Franklin,10806,33.41662039607625,63.78863594299463,Romney
KS,Geary,7526,41.961201169279825,56.36460271060324,Romney
KS,Gove,1368,12.719298245614036,84.4298245614035,Romney
KS,Graham,1319,18.802122820318424,79.15087187263077,Romney
KS,Grant,2215,19.729119638826184,78.64559819413094,Romney
KS,Gray,1901,15.99158337716991,82.48290373487637,Romney
KS,Greeley,665,16.842105263157894,81.05263157894737,Romney
KS,Greenwood,2706,24.131559497413157,73.39246119733924,Romney
KS,Hamilton,857,18.55309218203034,79.11318553092183,Romney
KS,Harper,2335,22.95503211991435,73.79014989293363,Romney
KS,Harvey,13805,37.392249185077866,60.49981890619341,Romney
KS,Haskell,1355,14.907749077490775,83.46863468634686,Romney
KS,Hodgeman,1050,16.952380952380953,81.61904761904762,Romney
KS,Jackson,5474,34.16149068322981,63.50018268176836,Romney
KS,Jefferson,7725,37.32038834951456,60.15533980582525,Romney
KS,Jewell,1477,15.233581584292484,82.59986459038592,Romney
KS,Johnson,268145,40.14656249417293,57.9693822372224,Romney
KS,Kearny,1341,19.463087248322147,79.04548844146159,Romney
KS,Kingman,3199,22.850890903407315,74.11691153485467,Romney
KS,Kiowa,1133,14.12180052956752,85.61341571050309,Romney
