,max_temp,rainfall,snowfall,bike_rides,month,holiday,weekend
2015-11-17,64,0.0,0.0,151,11,False,False
2015-11-18,65,0.08,0.0,160,11,False,False
2015-11-19,63,0.09,0.0,192,11,False,False
2015-11-20,48,0.0,0.0,209,11,False,False
2015-11-21,57,0.04,0.0,157,11,False,True
2015-11-22,39,0.0001,0.001,45,11,False,True
2015-11-23,37,0.0001,0.001,94,11,False,False
2015-11-24,46,0.0,0.0,113,11,False,False
2015-11-25,57,0.0,0.0,112,11,False,False
2015-11-26,64,0.0,0.0,104,11,True,False
2015-11-27,64,0.0001,0.0,181,11,False,False
2015-11-28,60,0.22,0.0,24,11,False,True
2015-11-29,41,0.01,0.0,45,11,False,True
2015-11-30,46,0.0001,0.0,77,11,False,False
2015-12-01,57,0.23,0.0,59,12,False,False
2015-12-02,49,0.14,0.001,70,12,False,False
2015-12-03,39,0.01,0.001,99,12,False,False
2015-12-04,46,0.0,0.0,109,12,False,False
2015-12-05,47,0.0,0.0,114,12,False,True
2015-12-06,46,0.0,0.0,103,12,False,True
2015-12-07,47,0.0,0.0,113,12,False,False
2015-12-08,47,0.0,0.0,91,12,False,False
2015-12-09,56,0.03,0.0,106,12,False,False
2015-12-10,55,0.0,0.0,136,12,False,False
2015-12-11,61,0.0,0.0,165,12,False,False
2015-12-12,68,0.0,0.0,596,12,False,True
2015-12-13,64,0.0,0.0,207,12,False,True
2015-12-14,63,0.19,0.0,83,12,False,False
2015-12-15,51,0.0001,0.0,108,12,False,False
2015-12-16,56,0.0,0.0,139,12,False,False
2015-12-17,53,0.43,0.0,48,12,False,False
2015-12-18,34,0.05,0.3,62,12,False,False
2015-12-19,33,0.0001,0.001,57,12,False,True
2015-12-20,41,0.0,0.0,56,12,False,True
2015-12-21,52,0.07,0.0,67,12,False,False
2015-12-22,62,0.19,0.0,97,12,False,False
2015-12-23,64,0.01,0.0,79,12,False,False
2015-12-24,63,0.57,0.0,84,12,False,False
2015-12-25,57,0.0001,0.0,39,12,True,False
2015-12-26,57,0.28,0.0,72,12,False,True
2015-12-27,66,0.61,0.0,21,12,False,True
2015-12-28,42,0.2,0.0,34,12,False,False
2015-12-29,53,0.03,0.0,52,12,False,False
2015-12-30,49,0.0,0.0,70,12,False,False
2015-12-31,41,0.0001,0.001,48,12,False,False
2016-01-01,35,0.0001,0.001,30,1,True,False
2016-01-02,36,0.0,0.0,22,1,False,True
2016-01-03,34,0.01,0.1,31,1,False,True
2016-01-04,28,0.03,0.6,33,1,False,False
2016-01-05,27,0.0,0.0,38,1,False,False
2016-01-06,41,0.0,0.0,51,1,False,False
2016-01-07,47,0.0,0.0,80,1,False,False
2016-01-08,41,0.28,0.0,41,1,False,False
2016-01-09,54,0.05,0.0,136,1,False,True
2016-01-10,48,0.49,0.4,28,1,False,True
2016-01-11,22,0.01,0.1,54,1,False,False
2016-01-12,31,0.23,4.7,21,1,False,False
2016-01-13,19,0.0001,0.1,18,1,False,False
2016-01-14,43,0.0001,0.001,50,1,False,False
2016-01-15,49,0.12,0.0,72,1,False,False
2016-01-16,41,0.03,0.001,50,1,False,True
2016-01-17,30,0.05,0.9,30,1,False,True
2016-01-18,13,0.0001,0.001,13,1,True,False
2016-01-19,18,0.0001,0.1,25,1,False,False
2016-01-20,19,0.06,2.0,23,1,False,False
2016-01-21,22,0.0001,0.001,37,1,False,False
2016-01-22,23,0.32,2.9,32,1,False,False
2016-01-23,29,0.1,2.0,9,1,False,True
2016-01-24,28,0.0001,0.001,13,1,False,True
2016-01-25,44,0.0001,0.0,40,1,False,False
2016-01-26,50,0.0001,0.0,62,1,False,False
2016-01-27,33,0.0001,0.001,77,1,False,False
2016-01-28,43,0.0001,0.001,70,1,False,False
2016-01-29,36,0.01,0.7,42,1,False,False
2016-01-30,55,0.0,0.0,112,1,False,True
2016-01-31,61,0.0,0.0,281,1,False,True
2016-02-01,60,0.05,0.0,85,2,False,False
2016-02-02,50,0.0001,0.0,94,2,False,False
2016-02-03,62,0.47,0.0,101,2,False,False
2016-02-04,41,0.0001,0.001,99,2,False,False
2016-02-05,36,0.01,0.2,59,2,False,False
2016-02-06,43,0.0,0.0,85,2,False,True
2016-02-07,51,0.0,0.0,100,2,False,True
2016-02-08,44,0.04,0.001,74,2,False,False
2016-02-09,32,0.17,2.0,28,2,False,False
2016-02-10,24,0.1,2.5,33,2,False,False
2016-02-11,18,0.01,0.2,36,2,False,False
2016-02-12,20,0.02,1.0,38,2,False,False
2016-02-13,15,0.01,0.8,12,2,False,True
2016-02-14,19,0.0001,0.001,17,2,False,True
2016-02-15,34,0.27,0.1,28,2,True,False
2016-02-16,35,0.81,1.5,38,2,False,False
2016-02-17,34,0.03,0.6,55,2,False,False
2016-02-18,33,0.0,0.0,49,2,False,False
2016-02-19,59,0.0,0.0,82,2,False,False
2016-02-20,67,0.0,0.0,441,2,False,True
2016-02-21,55,0.0,0.0,194,2,False,True
2016-02-22,49,0.0,0.0,102,2,False,False
2016-02-23,53,0.0,0.0,109,2,False,False
2016-02-24,62,1.01,0.0,76,2,False,False
2016-02-25,45,0.1,0.5,57,2,False,False
2016-02-26,31,0.0001,0.1,52,2,False,False
2016-02-27,41,0.0001,0.001,78,2,False,True
2016-02-28,63,0.0,0.0,414,2,False,True
2016-02-29,59,0.04,0.0,88,2,False,False
2016-03-01,65,0.31,0.0,140,3,False,False
2016-03-02,38,0.0001,0.001,58,3,False,False
2016-03-03,34,0.04,0.7,66,3,False,False
2016-03-04,33,0.08,1.0,62,3,False,False
2016-03-05,41,0.0001,0.001,54,3,False,True
2016-03-06,40,0.0,0.0,68,3,False,True
2016-03-07,66,0.0001,0.0,181,3,False,False
2016-03-08,71,0.0,0.0,215,3,False,False
2016-03-09,74,0.0,0.0,326,3,False,False
2016-03-10,65,0.55,0.0,79,3,False,False
2016-03-11,55,0.05,0.0,143,3,False,False
2016-03-12,68,0.0,0.0,406,3,False,True
2016-03-13,59,0.23,0.0,38,3,False,True
2016-03-14,73,0.73,0.0,208,3,False,False
2016-03-15,59,0.0001,0.0,129,3,False,False
2016-03-16,68,0.0001,0.0,237,3,False,False
2016-03-17,60,0.0001,0.0,154,3,False,False
2016-03-18,60,0.0001,0.0,200,3,False,False
2016-03-19,40,0.01,0.001,69,3,False,True
2016-03-20,37,0.07,0.4,29,3,False,True
2016-03-21,44,0.0001,0.001,73,3,False,False
2016-03-22,60,0.0,0.0,143,3,False,False
2016-03-23,68,0.0,0.0,266,3,False,False
2016-03-24,75,0.09,0.0,237,3,False,False
2016-03-25,59,0.18,0.0,112,3,False,False
2016-03-26,59,0.0,0.0,393,3,False,True
2016-03-27,76,0.0,0.0,503,3,False,True
2016-03-28,60,0.49,0.0,104,3,False,False
2016-03-29,53,0.0001,0.0,133,3,False,False
2016-03-30,69,0.0,0.0,269,3,False,False
2016-03-31,72,0.0001,0.0,214,3,False,False
2016-04-01,68,0.08,0.0,217,4,False,False
2016-04-02,52,0.18,0.6,139,4,False,True
2016-04-03,52,0.02,0.2,89,4,False,True
2016-04-04,55,0.13,0.001,66,4,False,False
2016-04-05,42,0.0001,0.1,92,4,False,False
2016-04-06,67,0.0001,0.0,170,4,False,False
2016-04-07,53,0.15,0.001,86,4,False,False
2016-04-08,47,0.12,0.7,107,4,False,False
2016-04-09,35,0.18,1.5,32,4,False,True
2016-04-10,51,0.01,0.001,46,4,False,True
2016-04-11,65,0.7,0.0,76,4,False,False
2016-04-12,50,0.02,0.0,133,4,False,False
2016-04-13,56,0.0,0.0,216,4,False,False
2016-04-14,67,0.0,0.0,244,4,False,False
2016-04-15,71,0.0,0.0,333,4,False,False
2016-04-16,74,0.0,0.0,593,4,False,True
2016-04-17,81,0.0,0.0,707,4,False,True
2016-04-18,80,0.0,0.0,306,4,False,False
2016-04-19,73,0.0,0.0,261,4,False,False
2016-04-20,74,0.0,0.0,281,4,False,False
2016-04-21,75,0.0001,0.0,193,4,False,False
2016-04-22,68,0.11,0.0,172,4,False,False
2016-04-23,61,0.0,0.0,369,4,False,True
2016-04-24,70,0.0,0.0,447,4,False,True
2016-04-25,80,0.0001,0.0,293,4,False,False
2016-04-26,77,0.12,0.0,210,4,False,False
